Section,Title,URL,Users
noticias,Muere motociclista arrollado y su esposa embarazada está grave,https://www.am.com.mx/guanajuato/noticias/Accidente-en-bulevar-Aeropuerto-en-Leon-muere-motociclista-arrollado-y-su-esposa-embarazada-esta-grave-20210519-0005.html,26636
valor-agregado,Multinacional se declara en quiebra y afecta a zapateros leoneses,https://www.am.com.mx/guanajuato/valor-agregado/Multinacional-se-declara-en-quiebra-y-afecta-a-zapateros-leoneses-20210804-0015.html,26555
leon,"Accidente en León: Identifican a conductor de camioneta que chocó contra patrulla, tiene 17 años | Periódico AM",https://www.am.com.mx/leon/Accidente-en-Leon-Identifican-a-conductor-de-camioneta-que-choco-contra-patrulla-tiene-17-anos-20210929-0094.html,26474
guanajuato,Difunden fotos de Georgina para mostrar su inocencia por la bomba en Salamanca,https://www.am.com.mx/guanajuato/Bomba-en-Salamanca-Difunden-fotos-de-Georgina-para-mostrar-su-inocencia-por-el-ataque-explosivo-20210929-0065.html,26230
noticias,"Cerro del Gigante León: pobladores registran constantes temblores | Periódico AM | Noticias de Guanajuato, México",https://www.am.com.mx/guanajuato/noticias/Cerro-del-Gigante-Leon-pobladores-registran-constantes-temblores-20210902-0010.html,26230
leon,Transporte Público León: Habrá ajuste de rutas a partir de mañana | Periódico AM,https://www.am.com.mx/leon/Transporte-Publico-Leon-Habra-ajuste-de-rutas-a-partir-de-manana-20210908-0043.html,26068
estados,"Tres adolescentes asfixiaron, abusaron y mataron a Rosa Isabel, de 13 años, ya fueron vinculados",https://www.am.com.mx/estados/Ciudad-Juarez-tres-adolescentes-asfixiaron-abusaron-y-mataron-a-Rosa-Isabel-de-solo-13-anos-20211009-0010.html,25986
noticias,#ERROR!,https://www.am.com.mx/guanajuato/noticias/Matan-a-tres-en-campos-de-Santa-Ana-del-Conde-uno-era-panadero-y-otro-cantante-de-la-banda-la-Sencillita-20210810-0003.html,25986
leon,Precio de la gasolina en León hoy 12 de septiembre,https://www.am.com.mx/leon/Precio-de-la-gasolina-en-Leon-hoy-12-de-septiembre-20210912-0036.html,25986
leon,Seguridad León: Cuelgan restos humanos en puente sobre bulevar Aeropuerto | Periódico AM,https://www.am.com.mx/consejos/Seguridad-Leon-Cuelgan-restos-humanos-en-puente-sobre-bulevar-Aeropuerto-20210906-0024.html,25743
tecnologia,Mañana es el apagón de Internet. Te decimos cómo evitarlo,https://www.am.com.mx/tecnologia/Apagon-de-InternetQue-es-cuales-dispositivos-afectara-y-como-evitarlo-20210929-0064.html,25743
noticias,VIDEO Trailero que ocasionó accidente en autopista Guadalajara-Lagos da positivo a sustancias prohibidas,https://www.am.com.mx/noticias/Accidente-Autopista-Guadalajara-Lagos.-VIDEO-Trailero-que-ocasiono-accidente-y-muerte-de-familia-de-Guanajuato-da-positivo-a-sustancias-prohibidas--20210701-0055.html,25661
espectaculos,Marco Antonio Solís estaría interesado en comprar el rancho de Juan Gabriel,https://www.am.com.mx/espectaculos/Juan-Gabriel-El-Buki-compraria-rancho-del-Divo-de-Juarez-en-San-Miguel-de-Allende-20210717-0010.html,25580
noticias,#ERROR!,https://www.am.com.mx/hidalgo/noticias/Si-no-tienen-para-pagar-un-servicio-no-salgan-mesera-se-queja-por-la-propina-que-recibio-20210915-0013.html,25580
